Wavelength (nm),Intensity (a.u.),Z Axis,
,01_SYN_50.00,01_SYN_55.00,01_SYN_60.00,01_SYN_65.00,01_SYN_70.00,01_SYN_75.00,01_SYN_80.00,01_SYN_85.00,01_SYN_90.00,01_SYN_95.00,01_SYN_100.00,01_SYN_105.00,01_SYN_110.00,01_SYN_115.00,01_SYN_120.00,01_SYN_125.00,01_SYN_130.00,01_SYN_135.00,01_SYN_140.00,01_SYN_145.00,01_SYN_150.00,01_SYN_155.00,01_SYN_160.00,01_SYN_165.00,01_SYN_170.00,01_SYN_175.00,01_SYN_180.00,01_SYN_185.00,01_SYN_190.00,01_SYN_195.00,01_SYN_200.00,01_SYN_205.00,01_SYN_210.00,01_SYN_215.00,01_SYN_220.00,01_SYN_225.00,01_SYN_230.00,01_SYN_235.00,01_SYN_240.00,01_SYN_245.00,01_SYN_250.00,01_SYN_255.00,01_SYN_260.00,01_SYN_265.00,01_SYN_270.00,01_SYN_275.00,01_SYN_280.00,01_SYN_285.00,01_SYN_290.00,01_SYN_295.00,01_SYN_300.00,01_SYN_305.00,01_SYN_310.00,01_SYN_315.00,01_SYN_320.00,01_SYN_325.00,01_SYN_330.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
250,1.85870516300201,2.80107355117798,3.22146272659302,3.60980105400085,4.71845960617065,5.5966010093689,6.45598602294922,7.89595937728882,10.0022115707397,12.8900260925293,16.6048526763916,21.7009887695313,26.7308120727539,33.5129280090332,39.6480255126953,46.94189453125,52.1451263427734,59.4381446838379,63.8430557250977,71.0080108642578,74.9123001098633,80.2605209350586,84.8504257202148,87.1108627319336,87.6054077148438,89.1303558349609,88.1718978881836,89.9914093017578,90.4588851928711,90.4412231445313,91.7687301635742,88.9126510620117,88.2239227294922,83.9044876098633,81.0552597045898,76.6695327758789,72.4987258911133,68.7890853881836,65.8365325927734,91.5800476074219,109.421615600586,93.5778274536133,53.0399932861328,44.5870552062988,40.4739570617676,37.5545845031738,33.1918907165527,30.9178428649902,30.7513618469238,28.8479671478271,26.2540702819824,22.5371971130371,19.1686763763428,16.6529712677002,14.7242202758789,13.7677135467529,12.4740467071533
252.029998779297,2.1434018611908,3.11827969551086,3.62917947769165,4.18700551986694,5.13205671310425,6.11557626724243,7.16383838653564,8.7924222946167,10.8015441894531,13.4013109207153,17.4247570037842,22.7168807983398,28.294412612915,34.4576759338379,40.9357948303223,47.6901092529297,52.4071464538574,59.475528717041,64.4546813964844,70.2739791870117,75.7940139770508,79.9471435546875,83.4396667480469,85.106819152832,85.8016052246094,88.5793075561523,89.0074234008789,90.2360687255859,89.7650833129883,89.8542327880859,89.0672988891602,86.7302703857422,85.7473220825195,82.5640640258789,78.6254653930664,74.7004547119141,70.4368133544922,66.7534103393555,63.1299095153809,68.2004776000977,97.5321884155273,110.740531921387,60.1052017211914,44.5394287109375,39.8698654174805,36.2816505432129,33.5453300476074,30.2543392181396,28.1765575408936,25.9400939941406,25.5557174682617,22.9261245727539,18.3974666595459,15.442798614502,14.079273223877,13.2750692367554,11.3828964233398
254.059997558594,2.67089176177979,3.40243530273438,4.01974630355835,4.44969749450684,5.22138166427612,6.35891437530518,7.62873458862305,8.98092174530029,11.4190607070923,14.5513143539429,18.3162021636963,22.9994773864746,29.7316246032715,35.4233589172363,40.9313850402832,47.1130867004395,52.6845245361328,57.915599822998,64.2642211914062,69.621696472168,75.6429672241211,79.4112930297852,81.478271484375,82.5389556884766,83.7636108398438,85.4523010253906,86.0060958862305,87.1970748901367,86.3537292480469,87.5455551147461,88.1553192138672,85.58642578125,82.3766632080078,80.1367340087891,76.2343978881836,72.2738418579102,69.6762390136719,63.6211624145508,60.3295249938965,57.2498016357422,83.7615737915039,99.1347885131836,79.7561416625977,50.3657913208008,38.2091522216797,34.9725761413574,31.6794929504395,29.0758800506592,25.7576103210449,24.2810916900635,24.3023662567139,22.0833225250244,18.9265155792236,16.1673259735107,14.3542861938477,12.8271722793579,11.319299697876
255.929992675781,2.72522306442261,3.28733682632446,4.19300174713135,4.97215986251831,6.1463885307312,7.02236175537109,7.71991062164307,9.6124849319458,11.823860168457,15.4190979003906,19.5648899078369,24.0559177398682,28.3993949890137,35.6616325378418,40.9907379150391,46.2872734069824,51.7886924743652,57.424259185791,62.3483505249023,67.7299957275391,72.0610275268555,75.5730285644531,78.332405090332,80.6701889038086,81.3849716186523,83.3349380493164,83.8467254638672,84.6118087768555,84.9456100463867,84.2068939208984,84.434455871582,82.4365921020508,79.8226165771484,76.500732421875,73.765251159668,68.90869140625,65.3082122802734,61.8021774291992,57.9347038269043,54.6737518310547,61.3831558227539,83.2965927124023,95.8872299194336,72.8872985839844,37.6438446044922,32.7891044616699,29.4536170959473,26.5586490631104,24.3266563415527,22.6301803588867,21.189245223999,20.526050567627,19.40260887146,16.4672718048096,13.1716690063477,11.8394460678101,10.4384927749634
257.959991455078,3.21290683746338,3.98891663551331,4.72322702407837,5.63693141937256,6.4882287979126,7.45437288284302,8.90002632141113,10.663013458252,13.262001991272,16.6105194091797,20.4600143432617,25.9285221099854,31.2529468536377,37.0466766357422,42.4403190612793,47.3480987548828,53.1885375976562,58.5294418334961,64.3140335083008,68.8223876953125,71.7386703491211,76.046875,78.0461196899414,80.7746047973633,81.7677764892578,82.95556640625,84.4830169677734,84.428337097168,85.2716369628906,84.8473205566406,84.114616394043,81.9455413818359,80.568977355957,76.8515625,72.9974594116211,68.9783782958984,64.455192565918,60.5049858093262,56.848274230957,52.9985847473145,50.7969512939453,66.1279907226563,105.358459472656,89.5109558105469,39.0232467651367,32.7334098815918,29.4105377197266,26.7679061889648,24.2018451690674,21.8511295318604,20.4381790161133,19.5665378570557,19.1251640319824,17.2594509124756,14.3079223632812,12.1065378189087,10.5271911621094
260,3.41055822372437,3.93557405471802,5.1127781867981,5.9223747253418,6.73870515823364,7.8412184715271,9.4288444519043,11.6463184356689,14.1108064651489,17.5000305175781,21.7909755706787,26.9293537139893,32.0226821899414,37.3111724853516,42.6441459655762,47.9842987060547,53.9838218688965,58.4067115783691,62.4811820983887,67.9415283203125,72.0176467895508,74.2498474121094,75.0730209350586,78.44287109375,79.1882476806641,81.2593536376953,81.8445281982422,82.8198699951172,83.2321472167969,83.5785369873047,82.0417556762695,79.4182510375977,76.4430236816406,73.7386322021484,69.5505447387695,64.676383972168,61.7696571350098,57.9401168823242,54.3826103210449,51.0335388183594,47.273078918457,56.4147033691406,113.201438903809,80.7597351074219,39.8838844299316,30.4663391113281,27.8390369415283,25.6157512664795,23.1932373046875,20.8993339538574,18.5871868133545,17.9609069824219,18.4881687164307,16.6580276489258,13.1956052780151,11.5353488922119,9.66449356079102
262.029998779297,3.82153797149658,4.68460035324097,5.47021532058716,6.31838464736938,7.08445405960083,8.41258716583252,9.51007556915283,11.8409414291382,14.6743392944336,18.2979602813721,21.9991550445557,27.3488578796387,32.1398429870605,37.7207489013672,41.5274200439453,47.5885772705078,51.7020034790039,57.099292755127,61.7406425476074,65.6555023193359,69.953987121582,71.0863876342773,72.1729507446289,74.046012878418,76.3831253051758,76.5245666503906,78.6100769042969,78.930061340332,78.9697952270508,78.8229598999023,77.4386367797852,74.3858337402344,72.0304260253906,69.0096817016602,64.5219955444336,61.5817642211914,57.9443168640137,54.1362762451172,50.5893630981445,47.3394966125488,43.4472389221191,49.5518836975098,97.0061645507812,81.2925109863281,47.1760177612305,29.0424575805664,26.0920829772949,23.7819023132324,20.9830074310303,19.6952857971191,17.1577033996582,16.684419631958,16.3815746307373,15.3087348937988,13.0794944763184,10.3042526245117,8.92405891418457
264.059997558594,4.36516094207764,5.05646896362305,5.99236488342285,6.88891792297363,7.66924381256104,8.91412544250488,10.5313968658447,12.7600231170654,15.3796339035034,18.8983612060547,23.2077102661133,27.7346801757813,32.7493743896484,36.8162002563477,40.5715980529785,44.7855911254883,49.5624198913574,55.0984649658203,58.7350540161133,62.1021461486816,64.7838287353516,66.2831573486328,67.974983215332,70.7058715820312,72.8498764038086,73.0734939575195,73.7861175537109,74.3114700317383,73.9988327026367,73.8561782836914,72.9426727294922,70.1829071044922,67.5993118286133,63.5668411254883,60.2468490600586,57.487232208252,53.2839546203613,50.6836357116699,47.6183319091797,43.991138458252,40.4820938110352,41.5865783691406,62.2503547668457,82.8523406982422,69.3785705566406,30.143440246582,24.3638820648193,21.5016860961914,19.6230926513672,17.3148403167725,16.195442199707,14.6696329116821,14.4185476303101,13.9425964355469,13.0310144424438,10.9795207977295,8.76940536499023
265.929992675781,4.78284692764282,5.76570892333984,6.2163519859314,7.07550430297852,8.39108276367187,9.84166526794434,11.565936088562,13.7092056274414,16.5279941558838,19.7648601531982,24.1468276977539,28.073486328125,32.7102127075195,36.1343002319336,40.6638031005859,44.9474601745605,48.9677352905273,54.0034446716309,57.4265022277832,60.7783851623535,63.1089515686035,64.493408203125,66.729118347168,68.4787445068359,69.8424453735352,71.2379989624023,71.7714996337891,72.2129440307617,72.8810653686523,70.9214553833008,70.215950012207,67.907600402832,64.2173004150391,61.1582298278809,57.5839424133301,54.9184608459473,51.5932540893555,49.202579498291,45.0264625549316,42.5927276611328,37.9131355285645,36.7271995544434,45.6402282714844,78.1432647705078,84.2446899414062,38.4780883789063,23.1993026733398,20.8801803588867,19.0665664672852,17.3067398071289,15.101203918457,13.9566831588745,12.7976837158203,12.8941488265991,12.8284616470337,11.0452766418457,8.81198501586914
